title,rating,reviews,address,description,latitude,longitude,operating_hours,phone,website
Air Terjun Kali Pedati,4.6,155,"Kali Pedati, Kalianan, Kec. Krucil, Kabupaten Probolinggo, Jawa Timur 67288, Indonesia",,-7.9156989,113.5120125,Open 24 hours,+62 813-5935-9533,
Puncak Budug Asu,4.7,551,"Kreweh, Gunungrejo, Singosari, Malang Regency, East Java 65153, Indonesia",,-7.807287,112.62141489999999,Open 24 hours,,
Tampora Beach,4.3,1237,"7JGX+7CF, Tampora, Kalianget, Banyuglugur, Situbondo Regency, East Java 68359, Indonesia","Small beach with scenic sunset views. Scenic sunset views are offered from this small, secluded beach backdropped by trees.",-7.7243232,113.64855,Open 24 hours,+62 852-1518-7555,
Bungursari Lake Park,4.4,329,"Kampung, Jl. Awi Mekar, Kec. Bungursari, Kabupaten Purwakarta, Jawa Barat, Indonesia",,-6.4806038,107.4695622,8 AM–9 PM,+62 858-8937-2022,http://bungursarilakepark.com/
Desa Wisata Saung Ciburial,4.5,677,"Sukalaksana, Samarang, Garut Regency, West Java 44161, Indonesia","Traditional village with cultural shows. Ecotourism village featuring farm animals, fishing & traditional musical & cultural performances.",-7.2050522,107.81237229999999,Open 24 hours,+62 821-7000-2642,https://saungciburial.com/
Taman Kemang Pratama,4.5,2140,"Jalan Niaga Raya Blok. C No. 3, Sepanjang Jaya, Rawalumbu, RT.001/RW.021, Bojong Rawalumbu, Kota Bks, Jawa Barat 17114, Indonesia",Food stalls & deer encounters for kids. Small riverside park with food stalls & enclosures where children can feed the resident deer.,-6.2696555,106.9865404,Open 24 hours,,
Hutan Kertas,4.0,3588,"Kutamekar, Kec. Ciampel, Karawang, Jawa Barat 41363, Indonesia","Wooded site with hammocks & live music. Recreational area beneath towering trees, with hammocks, picnic tables & a stage for performances.",-6.3628892,107.3316151,10 AM–10 PM,+62 878-8446-7246,
Situ Rawa Gede (wisata alam),4.6,386,"9XCR+PGP, Sirnajaya, Sukamakmur, Bogor Regency, West Java 16830, Indonesia",,-6.6281735,106.99134319999999,Open 24 hours,+62 857-1666-1700,
Bukit Tangkeban,4.4,4955,"Jl. Lap., Sawah Dan Kebun, Nyalembeng, Kec. Pulosari, Kabupaten Pemalang, Jawa Tengah 52355, Indonesia","Observation platform with selfie spots. Viewing tower against a mountain backdrop, with swings, stars & other in-built props for photos.",-7.1611953999999995,109.2328639,Open 24 hours,+62 823-2655-9688,
Wisata Hutan Pinus Batu Nyongclo,4.4,347,"Jl. Malarhayu, Payung, Kec. Rajagaluh, Kabupaten Majalengka, Jawa Barat 45472, Indonesia",,-6.8330161,108.38159309999999,Open 24 hours,,
Obyek Wisata Bendungan Rentang Jatitujuh,4.5,286,"86PC+5GX, Bendungan, Rentang, Kec. Jatitujuh, Kabupaten Majalengka, Jawa Barat 45458, Indonesia",,-6.664502,108.2213529,Closed,,
Desa Wisata Edukasi Cisaat ᮓᮦᮞ ᮝᮤᮞᮒ ᮆᮓᮥᮊᮞᮤ ᮎᮤᮞᮃᮒ᮪,4.7,71,"Jl. Raya Cisaat, Cisaat, Kec. Ciater, Kabupaten Subang, Jawa Barat 41281, Indonesia",,-6.7071774,107.65901339999999,Open 24 hours,+62 838-2318-6994,
Curug Gorobog,4.4,696,"3XP6+J75, Citengah, Sumedang Selatan, Sumedang Regency, West Java 45311, Indonesia",,-6.913477599999999,107.96072,Open 24 hours,,
Curug Tilu Waterfalls,4.4,1433,"Patengan, Rancabali, Bandung Regency, West Java 40973, Indonesia",,-7.1497411,107.3759025,7 AM–9 PM,,
Situ Cihaniwung,4.4,447,"PJWQ+WJJ, Santosa, Kertasari, Bandung Regency, West Java, Indonesia",,-7.2515351,107.63964949999999,Open 24 hours,+62 811-2220-0121,https://www.situcihaniwung.com/
Batu Tumpang,4.5,1416,"Kp cikembar, Tanjungjaya, Kec. Banjarwangi, Kabupaten Garut, Jawa Barat, Indonesia",,-7.3968739999999995,107.839007,Open 24 hours,,
Sagara Karangbolong,4.5,205,"Jl. Pantai Karangbolong, Karangtengah, Karangbolong, Kec. Buayan, Kabupaten Kebumen, Jawa Tengah 54474, Indonesia",,-7.7588564,109.4646654,Open 24 hours,,
Obyek wisata Pantai Alam Indah (PAI),4.2,222,"542R+X5J, Mintaragen, Kec. Tegal Tim., Kota Tegal, Jawa Tengah 52121, Indonesia",,-6.847543399999999,109.140383,,,
Obyek Wisata Pacalan Paninggaran,4.3,126,"RHGQ+PV7, Besuki, Paninggaran, Kec. Paninggaran, Kabupaten Pekalongan, Jawa Tengah 51164, Indonesia",,-7.1731789,109.5887767,,,https://www.dzakironpedia.com/
Taman Dewi Sartika,4.6,615,"Jl. Wastukencana No.2, Babakan Ciamis, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40117, Indonesia",,-6.913399699999999,107.60951519999999,Open 24 hours,,
Wisata Pinus Pananjung,4.5,179,"2FGJ+7MH, Dengkeng, Kidangpananjung, Kec. Cililin, Kabupaten Bandung Barat, Jawa Barat 40562, Indonesia",,-6.9743148999999995,107.48174279999999,Open 24 hours,+62 823-1870-9319,
Riung Gunung,4.5,13475,"7XXJ+37X, Puncak Rd, South Tugu, Cisarua, Bogor Regency, West Java 16750, Indonesia",Tea plantation with expansive views. Hilltop tea garden & photo spot known for panoramic views & warung cafes serving local dishes.,-6.702255699999999,106.98073649999999,,,
Havana Hills,4.4,1562,"Jl. Lengkong, Cikembulan, Jeruklegi Kulon, Jeruklegi, Cilacap Regency, Central Java 53252, Indonesia",,-7.6139493,109.0140406,10 AM–10 PM,+62 859-3493-1633,
